#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
1,1,I THINK,9,10,,,6,,11,8.5,9,7.5,,,10,,,11,,11,8.5,,,10,,11,10,8
1,2,EARFQUAKE,10,10,,,8,,10,8.2,10,10,,,9,,,10,,9.5,11,,,10,,10,10,10
1,3,A BOY IS A GUN,8,8.5,,,10,,10,7.6,7.5,11,,,10,,,10,,8.5,8.5,,,10,,9,10,9
1,4,Ladders,7,7,,,11,,10,9.6,11,9.8,,,11,,,10,,9.5,8.7,,,9,,10,7,8.5
1,6,"GONE, GONE / THANK YOU",11,9,,,8,,10,10,6,8.1,,,10,,,10,,8,10,,,8,,8,8,9.5
1,8,NEW MAGIC WAND,7,8,,,10,,10,11,8,7.2,,,10,,,10,,10,9,,,10,,10,10,6
1,14,NO HALO,8,10,,,10,,8,10,9,8.7,,,8,,,10,,9,6.5,,,11,,9,10,11
1,20,GINGER,7,11,,,8,,6,7.7,7.5,6.6,,,7,,,10,,6.8,7.3,,,7,,10,10,10
1,22,DEARLY DEPARTED,4,8.5,,,6,,8,9,7,10,,,3,,,10,,6,7,,,1,,10,11,9.5
