#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
3,9,Onanon,8,11,10,,9,10,8,9.6,,6.9,,,8,9,,10,11,9.5,,,,10,7,9,,9
3,10,Blue Light,9,8.5,10,,8,11,9,9,,5.9,,,7,7.5,,9,10,9,,,,10,9,7,,7.5
3,11,Stay Flo,8.5,8,10,,9,9,11,6.7,,8.2,,,8,8.5,,10,9.5,10,,,,8.5,8.2,10,,8
3,12,Miami,8.5,7.5,9,,7.5,9.5,6,8.5,,5.7,,,6,7,,10,10,8,,,,8,11,9,,8.5
3,17,Truth or Dare,9.5,7.5,8,,8,8,9,8,,9.1,,,10,8,,10,7.7,11,,,,10,8,8,,9
3,21,In My Dreams,5,8,10,,6,8.5,10,7.2,,11,,,9,8.5,,10,10,8,,,,10,10,8,,10
3,26,Body Language,6.5,8.5,9,,7,9,7,11,,6.5,,,8,8,,9,9,9,,,,9.5,8.3,8,,7
3,29,Coming Home,8.5,7.5,8.5,,8.5,9.5,5,6,,7,,,9,11,,9,9.5,8.5,,,,9,7,8,,6
4,1,Smooth Criminal,8,11,,,10,,10,9.3,,9.5,,10,9,,,,10,,,,10,10,11,11,10,10
4,2,Faith,8.5,9.5,,,10,,10,8.5,,9.1,,10,8,,,,8,,,,10,10,10,10,10,11
4,3,Dirty Diana,11,8.5,,,11,,8,8.5,,9.1,,11,7,,,,9,,,,7,10,10,10,10,10
4,5,The Way You Make Me Feel,6.5,9,,,8,,9,8.1,,8.5,,10,9,,,,9,,,,11,10,8,10,10,10
4,8,I Could Never Take the Place of Your Man,8,8,,,8,,10,6.8,,8.6,,10,10,,,,9,,,,7,11,10,8,10,10
4,9,Sign O' the Times,8.5,10,,,8.5,,8,11,,8.7,,10,10,,,,9.5,,,,8,10,7.3,7,8,9.5
4,13,It's Gonna Be a Beautiful Night,10,6.5,,,9,,10,10,,7.2,,10,11,,,,9,,,,8,10,10,10,10,6
4,16,The Ballad of Dorothy Parker,7,7,,,7,,8,10,,7.9,,10,8,,,,11,,,,6.3,10,8.2,8,10,5.5
4,26,Hand to Mouth,6.5,6,,,6,,6,10,,11,,8,8,,,,9,,,,8.3,9.5,9,7,7.5,6.5
5,1,Fast Car,10,11,,,8,10,11,11,5,8.1,11,10,10,6.5,,10,4.5,10,10,10,10,11,9.4,9,11,10
5,5,Rhythm Nation,8.5,9.5,,,10,11,9,10,7,7.5,9.4,10,11,10,,10,7,11,10,10,7.5,10,9,10,10,9
5,9,Last Dance,11,7.5,,,10,9,8,7.3,7,7.9,8.2,10,10,10,,10,10,10,10,11,8,10,8.7,10,9,10
5,10,Closer,10,9.5,,,10,10,7,10,7,6.3,10,11,10,8.5,,9,7.5,10,8.5,10,8.8,9,10,10,8,7
5,17,Call Your Girlfriend,8.5,6.5,,,7,9,9,6,7.5,7.1,10,10,4,10,,9,10,9,10,8,5,10,11,8,9,10
5,19,Damn Daniel,10,10,,,11,10,10,7,10,6.9,7.8,10,10,11,,10,7.5,10,10,10,10,10,7.6,10,10,8.5
5,22,ghostin,10,6.5,,,8,9.5,2,8.9,10,11,7.4,10,10,6.5,,9,4,7.5,9.5,6,4,10,8.7,9,4,8
5,24,Get Outta My Way,7,7,,,10,10,10,7.8,10,7.8,7.4,10,10,5.5,,11,11,10,10,6,6.4,10,10,11,5,10
5,33,Cruel Summer,6,8,,,8,8.5,0,5.5,11,8.8,8.6,10,8,2,,9,5.8,9,10,5,4,10,9,10,6,10
5,53,20 Dollar Nose Bleed,10,9.5,,,9,10,6,7.8,7.5,9.2,7.2,10,7.5,7,,2,5,7,8,8,11,7.5,5.2,8,8,9
5,57,I Lived,0,6,,,8,2,7,8.5,7,6.2,5.8,4,7,2,,7,4,1,7,10,10,4,7,5,5,11
5,59,Closer,8.5,8,,,10,7.5,10,0,10,10,7.8,10,6,10,,0,1,0,11,10,10,0,0,0,10,10
6,1,Doo Wop,8.5,,,,10,9.5,10,9.3,,8.5,,11,,10,,10,11,10,,,9,10,9.3,11,,11
6,2,Ex-Factor,10,,,,11,10,10,11,,9.5,,10,,9,,9,9.5,11,,,10,11,10,9,,10
6,3,Appletree,10,,,,10,9.5,8,10,,9,,10,,11,,11,10,10,,,10,9,9.3,8,,10
6,8,I Used To Love Him,10,,,,7.5,11,8,9.5,,7.8,,9,,9,,9,10,10,,,9.5,9,8.7,10,,10
6,6,On & On,9.5,,,,9,10,11,10,,7.6,,9,,10,,9,8.5,10,,,10,10,7.7,10,,10
6,9,It's Love,11,,,,10,9,8,9.5,,6.1,,9,,9,,10,7.8,10,,,10,9,10,10,,10
6,12,To Zion,7.5,,,,8,8.5,7,10,,8.7,,7,,10,,10,10,8.4,,,11,10,11,7,,10
6,14,The Miseducation of Lauryn Hill,9,,,,8,10,7,10,,11,,10,,6,,7,10,10,,,8.3,10,9.3,9,,8
7,1,Put Your Records On,9.5,9.5,10,,11,10,10,,6,7.8,,8,10,,,8,7,10,11,,8,10,10,10,8,8.5
7,3,Sir Duke,11,8.5,9,,10,10,9,,8,6,,6,11,,,9,9,8.5,4.5,,11,10,10,10,10,6.5
7,6,Lose Control,10,9.5,7,,10,10,7,,9,11,,10,10,,,10,10,10,10,,10,10,10,10,10,8
7,9,Tongue,10,8.5,8,,8.5,8.1,10,,10,7.9,,9,10,,,10,10,10,6.7,,9.8,9,10,11,10,9
7,11,Tu Falta De Querer,8.5,8.5,9,,8.2,9,10,,7,7.7,,10,8.5,,,7,11,8.5,10,,9,7.5,10,10,9,8
7,15,Death By Glamour,10,11,10,,10,8,8,,7,10,,11,7,,,10,8,10,10,,10,8,10,8,9.5,6
7,19,Starter Adult,8.5,7.5,5,,5,10,8,,8,9.5,,10,9.5,,,8,8,11,8,,10,7,10,8,7.5,7
7,22,Shelter,9,10,4,,7.5,8.8,11,,11,9.8,,10,8,,,9,6,6,9,,9,6,8.8,10,10,11
7,23,Sherbet Sunset,9.5,6.5,9,,7.5,10,6,,7,7.5,,6.5,7.5,,,11,7.8,9,7,,7.8,8.5,10,10,10,9.5
7,25,Under Cover of Darkness,9,9.5,9,,10,7.5,9,,8,8.8,,10,9,,,9,3,8.8,10,,8,7.5,8.7,7,11,10
7,35,New Breed,6.5,8,7,,7.5,11,7,,6.5,6.4,,8,9,,,10,10,8.5,6,,6,6.5,11,8,4.5,6
7,40,Fireproof,8.5,8,11,,10,7.7,6,,5,7.4,,9.5,7.5,,,4,4,5,10,,10,7,8.2,7,5,10
7,51,Sum Bout U,7.5,6,2,,10,8.5,0,,5,7.3,,3.5,7,,,8,9,2,5,,7.8,11,0,3,10,4
8,1,Blinding Lights,11,,9,,11,11,11,,10,7.5,11,10,,,,11,10,11,10,11,11,11,11,11,,10
8,3,Physical,7,,9,,10,10,9,10,11,9.9,10,10,,6,,,10,10,10,9,4.5,10,9.5,10,,7.5
8,7,august,10,,10,,9,,4,,10,11,,7,,9,,10,10,9,11,8,6.8,9,8,10,,9.5
8,8,exile,10,,7,,10,10,10,10,9,9.4,9.2,8.5,,7,,5,10,10,8.5,10,4,8.5,10,10,,11
8,16,my tears ricochet ,10,,7.5,,7,9.5,5,,8.5,,,11,,10,,6,,8,9.5,8,6.8,9.5,7,8,,10
8,24,Replay,8.5,,3,,10,10,7,10,8.5,9.2,8.3,7,,10,,10,11,7.8,9,6,7.5,6.5,9.5,10,,4
8,25,Sour Candy,8,,2,,7,10,8,11,10,3,7,2,,8.5,,7,8.5,5.2,7,8,,7.5,9,10,,2
8,42,peace,8.5,,11,,5,9,5,2,6,10,6.8,10,,8.5,,6,6,6.2,7.1,7,9,8.5,8.5,8,,7.5
8,59,Good In Bed,7,,9,,8,,5,,9,8.5,0,1,,11,,7,1,4,4,7,5,7,3,2,,0
9,1,King Kunta,10,11,10,,10,10,10,10,11,9.8,,10,10,10,,10,11,10,11,10,10,10,10,10,10,10
9,2,Cranes in the Sky,9,9,10,,9,11,10,10,9,7,,10,10,10,,10,10,10,7.6,10,10,10,10,10,10,10
9,3,i,10,8,10,,10,9.7,10,10,10,8.5,,10,10,10,,10,10,10,9,11,10,10,10,10,10,10
9,4,Wesley's Theory,10,9.5,9.6,,10,10,10,10,10,10,,10,10,10,,10,10,10,10,9,10,10,11,10,10,9
9,5,Alright,8.5,10,9,,8,9.8,10,8,9,11,,10,7,10,,10,10,8,9.5,10,7.5,10,10,10,10,10
9,6,The Blacker the Berry,10,9,10,,10,10,10,10,10,8.2,,10,8,10,,10,9,10,9.4,10,10,10,10,10,11,10
9,7,These Walls,11,8.5,10,,10,10,9,10,9.5,7.7,,10,10,11,,10,9,10,10,10,10,10,10,10,10,10
9,8,Don't Touch My Hair,10,7,10,,10,10,11,9.2,9,7.1,,10,10,10,,10,9,10,6.6,10,10,10,9.5,9,10,10
9,10,The Charade,10,8.5,10,,10,10,10,7,8,10,,11,11,10,,10,7,10,8.5,9,11,10,9.6,10,8,10
9,12,u,10,10,11,,11,10,10,11,9,8.9,,10,10,9,,11,8.8,8.5,6,10,9,11,10,11,10,7
9,16,Don't Wish Me Well,9,8.5,9,,9,10,8,10,7,7.6,,7,10,6,,10,9,11,9,7.5,8,9.5,8,9,7,11
10,2,On The Floor,10,10,7.5,10,10,10,10,8,8.5,9.4,,10,8,,,6,11,10,9,7,10,10,9.5,10,9.5,9.5
10,3,Casimir Pulaski Day,10,9,10,7.7,10,9.8,11,11,9,10,,10,10,,,10,10,11,8.5,10,7.4,10,11,10,9,9.2
10,4,Gospel for a New Century,10,10,10,9,10,10,10,10,11,9.9,,5,10,,,10,10,10,7.5,11,10,10,10,9,10,7.5
10,5,Heaven or Las Vegas,11,11,10,8,11,11,10,9,8,7.8,,10,10,,,7,7.5,9.5,10,6,7,10,10,10,10,9.5
10,6,In Undertow,8.5,10,9,7,10,10,9,8,10,11,,10,10,,,8,9,9.3,9,8,10,8.5,10,8,10,10
10,8,Once in a Lifetime,10,10,7,,8.5,10,10,7.5,6.5,10,,10,10,,,6,10,6.8,7,7,11,10,10,8,10,9
10,9,Shut Up Kiss Me,10,8,10,7.5,9,8.7,10,10,10,9.1,,10,10,,,11,10,10,10,7,10,10,8,10,10,7
10,10,Only Acting,10,8,10,11,9,9.2,10,3,10,10,,10,2,,,10,10,5,10,8,8,11,0,8,9,7.5
10,13,Heat Wave,9,,11,,9,8.8,7,8.5,10,10,,9,10,,,10,9.5,8.1,10,4,,10,9.5,10,10,8
10,16,Bodys,9.5,7.5,9,8,8.8,8.6,10,6.5,9,9.8,,5.8,11,,,7,7,9.1,8.5,8,7,10,9,7,7,9
10,21,All My Friends,10,,8,,8.8,8.1,10,5,8.5,10,,4,10,,,8,6.8,10,8.8,8,8,10,9,3,11,10
10,27,"Holland, 1945",,9.5,0,10,8.5,6.5,10,0,,8,,11,10,,,9,0,4,9,4,,10,8.5,7,10,8.5
10,29,Wolf Like Me,,9,6,,8.8,10,9,8.5,,8.5,,3,10,,,,3.5,10,7.5,6,,10,,,,11
10,40,bmbmbm,7,10,10,,10,7.5,10,10,0,0,,10,10,,,0,5,0,5,10,9,10,2,11,10,0
11,3,Narcissus,11,11,10,,11,11,7,10,7,8.7,7.6,10,,11,,11,10,10,7.9,,8.6,9.5,10,10,,8.5
11,4,Murphy's Law,10,8,9,,10,10,10,4,10,7.8,6.9,11,,10,,10,9.3,11,7.8,,10,10,10,10,,9
11,6,Remember Where You Are,8.5,9,9,,9,9,11,7,7.5,9.8,8.3,10,,10,,10,6.8,10,8.5,,10,10,7,11,,8.5
11,7,Save a Kiss,10,7.5,10,,7,9.5,10,8,9,9.5,8.1,10,,4.5,,9,10,9.1,8,,8.3,11,10,10,,10
11,9,The Kill,9.5,8,11,,9.5,10,8,11,8,8.6,7.8,10,,4,,10,10,10,8,,8,9,9.5,10,,8
11,10,Magic,9,7,8,,7,10,8,4,10,10,9.3,9,,4,,7,10,9.1,11,,10,9,10,8,,10
11,11,Step Into My Life,8.5,7,10,,5,8.7,9,9,7.5,11,7.3,10,,8,,9,9,9.4,8.5,,7,9.5,8.5,9,,8
11,13,Say Something,5,8.5,10,,8,10,4,5.5,8,6,6.5,10,,0,,10,9.8,10,9.5,,7.5,10,6,10,,11
11,17,Read My Lips,7,6.5,8,,8,7.3,10,9.5,7.5,9.7,7.4,7,,10,,9,9.5,8.5,7.8,,11,9,8,8,,7.5
11,18,Real Groove,8.5,7.5,8,,8,10,4,8,9.5,8.9,7.1,5,,10,,9,11,6,8.5,,8,8,9,10,,8.5
11,20,Mirage,7,6,7.8,,6,8.5,10,10,7.5,8.8,11,9,,7,,10,9.8,7,7.8,,7,9,9,7,,7
11,22,Dance Floor Darling,9.5,7.5,9,,9,10,4,5,11,9.1,8,9,,6,,7,9.5,9.2,9,,8,10,10,10,,10
11,23,We Got Together,10,6.5,9.5,,10,9.8,8,10,7,6,6.1,10,,9,,10,6,10,7,,8.8,8.5,11,10,,3
12,1,Damn Daniel,10,,10,11,10,11,10,,10,5,,11,10,10,,10,10,11,10,11,10,11,9,10,9.6,10
12,2,Shook,11,,10,7,11,10,11,,11,9.1,,9,11,10,,10,10,10,10,10,10,10,10,10,10,10
12,3,In A Dream,10,,7.5,8,8,9,10,,10,10,,9,10,11,,7,7.8,9,11,10,10,8.5,8.5,10,9.3,9
12,6,Killshot,10,,5,8,10,10,8,,9,11,,6,10,10,,8,10,10,10,8,10,9,8.5,8,9,11
12,7,Slime,10,,9.4,9,8.5,10,10,,9,10,,5,10,10,,11,11,9.5,8.5,6.5,10,8.5,10,11,10,4
12,11,ATM,8.7,,7.3,6,9,10,10,,10,8.8,,7.5,10,6.5,,10,10,10,8,9,10,8,11,10,8,7.5
12,17,Awake,10,,8.8,6,9,10,10,,10,5.5,,6,10,5,,10,10,9.5,10,8,10,10,10,10,11,7.5
12,18,Grasshopper,10,,11,6.5,10,10,10,,9,7.2,,10,10,9,,10,9,9.1,9,10,9.7,7.5,9.5,10,9,6
12,48,could cry just thinking about you,3,,2,,5,7,5,,,6.5,,6,7,9.5,,6,,3,10,6,11,6,8.5,3,,7.5
13,1,I Know The End,9.9,10,10,11,10,10,10,11,10,11,,11,7,10,,10,10,10,11,11,,10,11,10,10,11
13,2,Kyoto,10,9,10,10,9.5,9.9,10,10,11,10,,9,10,10,,8,10,9,10,10,,10,10,10,9.3,9.5
13,3,I Want You To Love Me,8.5,9.5,10,10,10,10,9,10,8,10,,8,9,10,,10,11,10,8.5,7.5,,10,10,10,10,9
13,4,Shameika,10,10,9,10,10,11,10,7,,10,,10,,8.5,,10,10,11,10,10,,10,9,10,10,
13,7,Now I'm In It,9,10,10,6,10,10,11,3,10,10,,9,10,9.5,,10,8,10,9.5,8,,8.5,,10,8,10
13,8,For Her,11,8.5,10,8,7.5,10,5,10,7.5,9.8,,9,10,11,,10,10,10,9.5,10,,11,9,10,11,10
13,11,Heavy Balloon,10,9,10,9.5,7,9.7,6,10,5,8.7,,10,11,10,,8,9,10,7,8,,10,9,10,10,8.5
13,16,Ladies,10,7,11,9,11,10,6,8.5,8,6.6,,7,9,8.5,,10,8.8,10,7.8,10,,10,9,10,10,8
13,21,Punisher,9.5,11,9.1,7,9,7.6,7,5.5,8,7.9,,10,10,8.5,,7,7.4,5,9,8,,8,8,8,10,10
13,31,Leaning on You,7,7,8.3,6.5,7.5,8.2,6,8,8.5,9.3,,10,8,5,,11,7.5,9.3,8.5,8,,7.5,7.5,8,6,8
13,15,Summer Girl,8,7.5,10,4,9,7,9,10,8.5,8,,7,10,6.5,,10,7.4,10,8,9,,10,8,11,9.2,8
14,1,XS,8.5,10,8.3,8,10,10,7,,11,11,7.8,8.5,10,11,,8,11,11,11,8,7,10,10,10,11,8
14,2,Ungodly Hour,11,10,11,9,10,10,10,,10,10,11,10,10,9.5,,11,10,10,10,10,10,9.5,8.5,10,10,10
14,3,Dynasty,10,9.5,10,11,8.5,10,6,,10,10,7.7,4,6,9.5,,8,10,10,10,11,10,8.5,11,10,10,9.5
14,4,Do It,8.5,9.5,10,10,10,10,10,,10,10,6.9,10,10,9.5,,10,10,9.5,10,10,9.9,10,10,11,9.4,10
14,10,Comme des Garcons,8,6.5,7,10,9,10,11,,10,9.8,10,9,10,8,,9,9.8,9.2,8.5,9,10,9,9,10,10,7
14,11,Don't Make It Harder on Me,10,8.5,9.1,7,8.5,8.5,8,,8,8.6,7.7,9,10,10,,10,8.8,10,9,9,9.8,9,9,10,10,11
14,12,forever,9.5,11,10,8.5,10,11,10,,10,10,6.7,11,8,9,,4,9.5,8,7.5,10,9,10,9,9,9,10
14,14,Tipsy,10,10,10,8.7,10,10,8,,10,8.3,7.4,7,10,10,,9,10,10,7,9,11,7,7.5,10,7.5,10
14,39,pink diamond,8,8,5,8.5,9,10,5,,10,10,8.4,3,9,8,,10,10,6.7,7.8,5,7,11,9.5,8,10,3
14,40,7 years,10,7,10,6.5,11,10,5,,9,10,6.3,10,9,4.5,,5,9.3,4,7,7,8,8.5,6,7,10,6
14,41,Let's Sort the Whole Thing Out,9,7,8.1,5.5,8,9,5,,8.5,9,7.1,6,11,1,,9,10,7.2,8.2,10,7,8,6,5,10,10
15,1,Simple and Clean,11,7,10,,10,10,,,6,10,,10,,10,,9,8,9,,9,9.5,7,9,11,10,10
15,2,Still Alive,10,10,10,,6,11,,,9,10,,10,,10,,11,11,8,,10,9,8.5,9,10,10,10
15,3,"Jump Up, Super Star!",10,9.5,9.3,,10,10,,,11,0,,8,,8.5,,10,7.5,8,,9,11,10,9,7,10,10
15,4,Paradise,10,7,8.2,,11,8.3,,,9,10,,8,,9.5,,8,7,8,,7,10,8.5,11,9,10,10
15,5,Dance!,9,10,8,,10,8,,,7,10,,9,,10,,9,8,5,,11,7.3,10,10,8,8,9.5
15,12,It's Bugsnax!,10,8,11,,9,9.7,,,10,10,,11,,10,,10,10,6,,7,7.5,8.5,10,9,10,10
15,13,Snake Eater,7.5,6.5,4,,7.5,10,,,7.5,7.2,,8,,8,,9,6.8,10,,9,7.5,9,9,10,11,8
15,17,We All Become,8,6.5,6.8,,10,9.6,,,7,11,,4,,8.5,,10,9,7.2,,8,7.7,7,10,10,8.4,10
15,20,Paper Boats,7.5,6.5,6,,9,9.5,,,7,10,,9,,3.5,,10,10,9,,8,7.7,6.5,10,10,8,11
15,26,Funky Dealer,10,11,7.9,,8.5,10,,,6,10,,9,,9,,6,8.8,10,,7,8,8,10,9,10,9
15,27,Pollyanna,10,10,10,,7,9.1,,,7,7.1,,5,,10,,10,9.2,11,,9,10,7,8,8,9,9
15,28,DK Rap,10,8.5,5,,10,10,,,3,8.6,,9,,10,,2,10,10,,10,10,11,7,9,10,10
15,43,Get Jinxed,10,10,10,,8,9.3,,,6.5,10,,10,,11,,10,7.4,10,,8,8,4,8,8,8,8.5
16,1,Midnight Sky,5.1,10,1,,8,10,8,,10,8.1,8.5,10,,4,,1,10,9,11,9,5.5,6,10,10,,8.5
16,3,You should be sad,10,11,8.9,,8.5,10,9,,10,7.5,8.1,10,,9.5,,10,6.8,7,9,10,10,5.5,10,10,,10
16,4,Nightmare,10,7,10,,10,10,5,,11,11,11,10,,9,,11,10,5,10,8,9,6.5,4.1,10,,9.5
16,5,Dead Horse,11,10,10,,10,11,8,,10,8,7.8,10,,10,,10,10,7,10,10,11,7,11,10,,8.5
16,7,Simmer,9,9.5,10,,10,10,8,,10,9.6,10,6,,10,,9,10,9,8.5,10,10,11,10,8,,9
16,8,Sugar on the Rim,10,8,10,,10,9.6,11,,10,10,7.6,10,,10,,10,10,9.5,7.8,9,6,8,10,10,,9
16,9,Pure Love,10,7,11,,10,10,10,,10,9.8,8.3,9,,11,,9,10,8,10,8,8,8.5,8,10,,10
16,13,Over Yet,8,6,10,,10,9,6,,10,7.8,7.5,9,,10,,9,8,11,9,10,8,8,10,9,,8.5
16,16,Finally // beautiful stranger,10,6,9.6,,8.5,9.1,5,,10,7.6,6.7,7,,3.5,,9,4,8,8,8.5,8.7,7,8.2,11,,10
16,17,Sudden Desire,9,5.5,7.6,,7.5,10,8,,8,7,6.6,8,,7,,3,11,5.5,7.8,7,8.6,8,9,9,,6.5
16,18,Be Kind,8.5,9.5,6.8,,9,10,10,,10,6.2,7.5,10,,2,,8,6.5,9,7.5,11,8.5,6.5,9,10,,10
16,28,Cinnamon,9,10,9.7,,11,9.4,7,,10,7.2,6.5,7.5,,8,,9,9,4,9,8,8,8.5,8.5,9,,8
16,29,killing boys,8,8,7.3,,8,9.7,5,,8,9.4,7.6,11,,6,,5,4.5,7,7.5,7,7.8,6.5,5.7,9,,8
16,41,929,9,8.5,9,,7.5,9.3,5,,8,10,7.2,8,,2.5,,10,6.8,2,5,8.5,9.2,5.5,7.5,7,,11
17,2,Sherlock,11,9,10,,10,10,5,10,10,8,,9,,,11,8,10,,9.5,7,9.7,,0,10,,6
17,3,Call Me Baby,9,9.5,10,,10,10,6,11,8,6.5,,7,,,9.5,10,9,,7,7,10,,8,10,,10
17,4,The Chaser,10,8.5,10,,5,8.8,5,10,10,9,,10,,,10,11,6,,8,8,8.7,,9,10,,11
17,5,Lucifer,10,11,10,,8,10,3,10,7.5,9.5,,7,,,10,7,10,,8.5,7,8.7,,7.5,9,,7.5
17,6,Run ,10,5.5,10,,9,9.5,8,10,9.5,11,,10,,,10,10,8.5,,8.5,7,8,,8.5,10,,9.5
17,7,Very Nice,9,10,10,,10,9.2,8,10,9,8.5,,,,,10,10,10,,9,8,10,,11,9,,8
17,8,Crown,10,10,10,,8,9.5,6,10,10,10,,11,,,8,9,7.5,,11,7,10,,9,10,,10
17,9,Monster,7.9,8.5,8.9,,7.5,11,5,10,5,7.5,,9,,,10,7,10,,10,8,10,,9,7,,8.5
17,14,If You Do,8,7.5,11,,7,8,6,10,9,8.5,,3,,,10,10,7.5,,7,5,7,,8,7,,8
17,16,Now or Never,8,5.5,9.5,,9,10,8,10,11,9,,8,,,7,10,10,,10,10,8,,8,9,,8.5
17,19,MIROH,8,9,10,,11,10,5,10,10,7,,10,,,4.5,8,9,,6,7,8,,10,11,,7
17,28,Movie,7.7,7,10,,10,9,5,8,10,8,,8,,,7,10,8,,5.5,7,11,,9,10,,9
17,34,HER,8,9,9,,6,8,7,10,8.5,10,,10,,,10,8,6,,6,11,7,,7.7,6,,7.5
17,48,Jopping,10,5,10,,10,10,11,10,10,10,,0,,,10,10,9,,10,6,10,,3.2,9,,10
17,56,Mr. Simple,6,8,6.1,,7,9.5,0,5,5,10,,10,,,8,9,11,,10,6,8,,2.5,10,,6
18,2,Like a G6,11,10,,,11,11,10,,10,11,10,10,,10,,11,11,,10,6,9.5,,10,10,10,0
18,5,Airplanes,10,,,,4,10,10,,7.5,10,11,8,,5.5,,10,9,,7.5,6,10,,8.2,9,3.6,10
18,8,Where Them Girls At,10,,,,10,10,10,,11,10,10,10,,8,,9,10,,11,8,8,,11,10,4.3,7.5
18,9,Run This Town,10,9,,,10,10,10,,8,,10,10,,8,,10,,,,10,8,,,11,8,10
18,13,The Show Goes On,10,8,,,10,10,10,,,,10,10,,9,,9,7.5,,8.5,11,10,,,,10,11
18,14,I Know You Want Me,8.5,11,,,10,8.8,8,,3,10,6.2,4,,8.5,,,10,,7,7,9,,8.5,,,8
18,23,Coming Home (PR),9,6.5,,,10,10,11,,5,7,7.3,8.5,,2,,8,6,,5,8,7,,6,8,7.5,7.5
18,27,Stereo Hearts,10,10,,,8,9.5,10,,6.5,7.3,9.1,11,,1.5,,9,7.5,,7,6,11,,4.5,10,6,9
18,35,Fireball,9,6,,,10,6,6,,5,6.4,5.1,7,,11,,7,5.5,,7.5,8,8,,7.9,8,8,10
19,1,Nada,10,11,,,7.5,11,10,11,,8.6,,10,,10,,,10,,10,,10,7.5,10,10,,9
19,2,telepatia,10,10,,,10,10,8,10,,10,,8.5,,9,,,10,,11,,10,11,10,10,,9
19,3,MALAMENTE,10,10,,,10,10,10,10,,11,,7.5,,7.5,,,10,,7,,9,8.5,8.2,10,,8.5
19,4,Eso Que Tu Haces,10,10,,,11,10,8,8.5,,7.7,,10,,10,,,10,,10,,9.7,8,11,11,,9
19,7,BAGDAD,10,10,,,6.7,8.2,10,10,,10,,11,,9.5,,,9.5,,7.8,,8,8.5,9,9,,10
19,8,Te Queria,9.4,9,,,8,9,10,8,,7.8,,8.5,,8.5,,,11,,9,,11,7.5,8.6,8,,11
19,11,No Pude,8.9,6,,,8.8,10,9,9,,10,,9,,11,,,10,,8.5,,8,9,9.8,7,,6
